Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser(""http://demoaut.katalon.com/"")",Chrome 86.0.4240.75,,,2020-10-09 17:39:50,2020-10-09 17:40:20,30.754s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 86.0.4240.75,,,2020-10-09 17:40:20,2020-10-09 17:40:21,0.463s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Login""))",Chrome 86.0.4240.75,,,2020-10-09 17:40:21,2020-10-09 17:40:22,1.285s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 86.0.4240.75,,,2020-10-09 17:40:22,2020-10-09 17:40:23,0.838s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), """")",Chrome 86.0.4240.75,,,2020-10-09 17:40:23,2020-10-09 17:40:24,0.786s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 86.0.4240.75,,,2020-10-09 17:40:24,2020-10-09 17:40:25,1.433s,PASSED
delay(2),Chrome 86.0.4240.75,,,2020-10-09 17:40:25,2020-10-09 17:40:27,2.007s,PASSED
"verifyElementText(findTestObject(""Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Chrome 86.0.4240.75,,,2020-10-09 17:40:27,2020-10-09 17:41:00,32.260s,FAILED
,,,,,,,
Test Cases/T4,Chrome 86.0.4240.75,,,2020-10-09 17:41:00,2020-10-09 17:41:54,54.765s,FAILED
"openBrowser(""http://demoaut.katalon.com/"")",Chrome 86.0.4240.75,,,2020-10-09 17:41:00,2020-10-09 17:41:15,15.114s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 86.0.4240.75,,,2020-10-09 17:41:15,2020-10-09 17:41:16,0.528s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Login""))",Chrome 86.0.4240.75,,,2020-10-09 17:41:16,2020-10-09 17:41:17,1.315s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), """")",Chrome 86.0.4240.75,,,2020-10-09 17:41:17,2020-10-09 17:41:18,0.769s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Chrome 86.0.4240.75,,,2020-10-09 17:41:18,2020-10-09 17:41:19,0.904s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 86.0.4240.75,,,2020-10-09 17:41:19,2020-10-09 17:41:20,1.643s,PASSED
delay(2),Chrome 86.0.4240.75,,,2020-10-09 17:41:20,2020-10-09 17:41:22,2.006s,PASSED
"verifyElementText(findTestObject(""Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Chrome 86.0.4240.75,,,2020-10-09 17:41:22,2020-10-09 17:41:54,32.047s,FAILED
